City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Abbeville,FR,50.1,1.83,1594666364,100,55,66.99,6.33
Tondano,ID,1.3,124.91,1594666364,20,94,73.4,3.36
Nikolskoye,RU,59.7,30.79,1594666364,20,63,61.0,6.71
Wajima,JP,37.4,136.9,1594666364,100,94,68.23,15.35
Kyra,RU,49.58,111.98,1594666365,31,86,58.86,3.33
Palmer,US,42.16,-72.33,1594666074,75,69,84.0,5.84
Pangnirtung,CA,66.15,-65.71,1594666294,75,87,48.2,11.41
Provideniya,RU,64.38,-173.3,1594666365,97,59,50.74,5.82
Kavaratti,IN,10.57,72.64,1594665966,100,75,82.78,11.21
Taihe,CN,30.87,105.38,1594666366,100,95,73.67,5.21
Hilo,US,19.73,-155.09,1594666366,75,73,77.0,5.03
Paengaroa,NZ,-37.82,176.42,1594666367,100,99,53.01,2.57
Kabalo,CD,-6.05,26.92,1594666367,4,30,78.51,3.58
Bredasdorp,ZA,-34.53,20.04,1594666367,100,71,50.0,17.22
Seymchan,RU,62.88,152.43,1594666368,100,76,63.14,3.4
Bethel,US,41.37,-73.41,1594665772,40,54,86.0,4.7
Hobart,AU,-42.88,147.33,1594666204,90,87,42.8,5.82
Sari,IR,36.56,53.06,1594666368,30,81,75.31,2.04
Cocentaina,ES,38.74,-0.44,1594666369,0,53,79.0,6.33
Alta Floresta,BR,-9.88,-56.09,1594666264,92,27,92.91,4.65
Charyshskoye,RU,51.4,83.56,1594666369,100,87,57.33,1.52
Bluff,NZ,-46.6,168.33,1594666369,99,78,48.04,9.93
Khakhea,BW,-24.69,23.49,1594666369,0,36,50.85,9.73
Mareeba,AU,-17.0,145.43,1594666370,71,42,68.0,14.99
Puerto Ayora,EC,-0.74,-90.35,1594666370,34,87,71.01,4.0
Port Augusta,AU,-32.5,137.77,1594666370,90,100,48.2,4.7
Loreto,MX,22.27,-101.97,1594666370,79,23,78.57,6.67
Tutóia,BR,-2.76,-42.27,1594666371,100,65,84.07,9.01
Mar del Plata,AR,-38.0,-57.56,1594666152,40,81,46.99,13.87
San Cristobal,VE,7.77,-72.22,1594665919,40,38,93.2,26.4
Lillooet,CA,50.69,-121.94,1594666372,1,52,66.2,8.05
Petites Anses,GP,15.85,-61.64,1594666372,75,58,89.6,13.87
Severo-Yeniseyskiy,RU,60.37,93.04,1594666372,38,73,56.64,3.87
Los Llanos de Aridane,ES,28.66,-17.92,1594666373,20,73,73.4,17.22
Port Elizabeth,ZA,-33.92,25.57,1594666139,0,58,57.2,13.87
Severo-Kuril'sk,RU,50.68,156.12,1594666228,100,89,48.04,7.27
Kapaa,US,22.08,-159.32,1594666373,40,78,78.01,13.87
Motygino,RU,58.18,94.76,1594666373,67,79,58.5,3.06
Martapura,ID,-3.42,114.85,1594666374,3,95,73.09,1.23
Broome,US,42.25,-75.83,1594666263,40,57,79.0,10.29
Hermanus,ZA,-34.42,19.23,1594666141,95,63,52.0,8.99
Barinas,VE,8.62,-70.21,1594666374,78,68,85.41,5.06
Japura,ID,-0.32,102.35,1594665922,94,97,70.52,2.26
Arman',RU,59.7,150.17,1594666376,100,75,58.35,1.9
Iqaluit,CA,63.75,-68.51,1594666376,20,42,64.4,14.99
Finschhafen,PG,-6.6,147.87,1594666376,100,75,79.34,7.14
Montrose,US,38.42,-108.27,1594666376,40,17,91.0,8.99
Brae,GB,60.4,-1.35,1594666038,20,93,53.6,12.75
Qaanaaq,GL,77.48,-69.36,1594666229,0,63,45.82,9.24
St Albans,GB,51.75,-0.33,1594666377,40,77,68.0,17.22
Atherton,GB,53.52,-2.49,1594666377,100,72,63.0,3.0
Nanortalik,GL,60.14,-45.24,1594666377,100,91,45.36,0.54
Traverse City,US,44.76,-85.62,1594666378,40,50,78.01,6.93
Cedar City,US,37.68,-113.06,1594665723,1,13,93.2,19.46
San Andrés,CO,12.58,-81.7,1594665843,40,70,87.8,10.29
Impfondo,CG,1.64,18.07,1594666378,100,95,72.77,2.48
Cape Town,ZA,-33.93,18.42,1594666177,75,58,54.0,10.29
Azanka,RU,58.04,64.79,1594666379,0,67,65.86,3.6
Bilma,NE,18.69,12.92,1594666379,23,21,96.49,7.07
Dingle,PH,11.0,122.67,1594666379,100,87,76.86,1.45
Vestmannaeyjar,IS,63.44,-20.27,1594665667,100,86,52.88,9.57
Port Macquarie,AU,-31.43,152.92,1594666379,99,72,50.0,10.69
Saint Anthony,US,45.02,-93.22,1594666062,1,45,84.99,13.87
Chokurdakh,RU,70.63,147.92,1594666380,1,59,59.47,13.35
Torbay,CA,47.67,-52.73,1594666380,75,69,77.0,16.11
Tabou,CI,4.42,-7.35,1594666380,50,78,76.21,9.82
Leh,IN,34.17,77.58,1594665843,1,33,60.3,5.55
Longyearbyen,SJ,78.22,15.64,1594666381,75,76,48.2,4.7
Avarua,CK,-21.21,-159.78,1594666381,77,72,68.0,9.17
Maksatikha,RU,57.8,35.88,1594666382,100,97,54.63,5.01
Yamethin,MM,20.43,96.15,1594666382,100,90,74.23,7.94
Senneterre,CA,48.38,-77.23,1594666382,75,82,64.4,5.82
Paraíso,CR,9.84,-83.87,1594666233,100,73,71.6,9.17
Hambantota,LK,6.12,81.12,1594666383,85,94,80.6,6.93
Geraldton,AU,-28.77,114.6,1594665850,75,88,64.4,14.99
Esperance,AU,-33.87,121.9,1594666383,0,34,53.6,19.46
Salalah,OM,17.02,54.09,1594665809,75,94,82.4,8.05
Flinders,AU,-34.58,150.86,1594665759,100,85,54.0,5.99
Arraial do Cabo,BR,-22.97,-42.03,1594666219,0,38,87.8,5.82
Mahébourg,MU,-20.41,57.7,1594666165,40,83,71.6,12.75
San Jerónimo,PE,-11.95,-75.28,1594666384,14,31,62.44,1.92
Panalingaan,PH,8.78,117.42,1594666384,94,84,78.33,4.18
Pisco,PE,-13.7,-76.22,1594666384,90,87,64.0,8.05
Novoagansk,RU,61.94,76.66,1594666385,0,82,57.4,11.92
Kholmsk,RU,47.05,142.06,1594666385,75,93,55.4,2.82
Villaviciosa,ES,43.48,-5.44,1594666385,0,66,73.0,5.06
Klaksvík,FO,62.23,-6.59,1594666385,99,100,51.8,8.05
San Juan,AR,-31.54,-68.54,1594666294,0,45,51.31,11.12
Amānganj,IN,24.43,80.03,1594666386,84,66,86.76,7.18
Aripuanã,BR,-9.17,-60.63,1594666386,66,32,94.62,3.0
Ville-Marie,CA,47.33,-79.43,1594666386,90,87,60.8,6.93
Vila Franca do Campo,PT,37.72,-25.43,1594666371,75,60,71.6,8.05
Ribeira Grande,PT,38.52,-28.7,1594666221,75,69,73.4,17.22
Abu Samrah,SY,35.3,37.18,1594666388,0,59,76.84,11.99
Auki,SB,-8.77,160.7,1594665911,100,85,77.43,3.18
Yellowknife,CA,62.46,-114.35,1594666388,90,93,60.8,11.41
Magistral'nyy,RU,56.17,107.45,1594666388,0,90,61.9,2.26
Vila Velha,BR,-20.33,-40.29,1594666028,0,51,86.0,10.29
Labuhan,ID,-6.88,112.21,1594665749,0,85,76.57,7.45
San Policarpo,PH,12.18,125.51,1594666389,100,84,79.74,5.26
Missoula,US,47.02,-113.8,1594666389,1,28,71.01,6.93
Kidal,ML,18.44,1.41,1594666390,61,14,98.46,5.44
Khani,GE,41.96,42.96,1594666390,75,100,69.8,3.36
Lavumisa,SZ,-27.31,31.89,1594666390,0,29,63.03,6.78
Najrān,SA,17.49,44.13,1594666390,75,13,95.0,6.93
Pevek,RU,69.7,170.31,1594666390,100,72,41.67,3.47
Saldanha,ZA,-33.01,17.94,1594666391,100,81,51.8,9.17
Sørland,NO,67.67,12.69,1594666391,21,82,55.4,16.11
Shellbrook,CA,53.22,-106.4,1594666391,75,72,64.4,10.29
Avera,US,33.19,-82.53,1594666391,1,49,91.99,10.29
Laurel,US,39.1,-76.85,1594666261,1,48,89.01,3.36
Eureka,US,40.8,-124.16,1594666218,2,79,63.0,4.0
Kérouané,GN,9.27,-9.02,1594666392,91,89,73.9,0.56
Pyapon,MM,16.28,95.68,1594666392,100,92,76.59,3.58
Dikson,RU,73.51,80.55,1594666393,100,99,39.33,12.64
Cidreira,BR,-30.18,-50.21,1594666214,100,56,54.77,12.28
Salta,AR,-24.79,-65.41,1594666153,20,42,68.0,4.7
Mīāndoāb,IR,36.97,46.1,1594666394,75,52,69.8,16.11
Tasiilaq,GL,65.61,-37.64,1594666394,75,66,48.2,6.93
George Town,MY,5.41,100.34,1594666141,20,94,78.8,3.36
Upernavik,GL,72.79,-56.15,1594666395,96,88,41.5,4.59
Saint-Pierre,RE,-21.34,55.48,1594666395,0,77,66.2,4.7
Cockburn Town,TC,21.46,-71.14,1594666395,40,70,87.8,17.22
Fortuna,US,40.6,-124.16,1594666395,20,82,62.01,13.87
Alacranes,CU,22.77,-81.57,1594666396,85,57,89.58,1.12
Chililabombwe,ZM,-12.36,27.82,1594666396,20,47,62.04,3.85
Vung Tau,VN,10.35,107.08,1594666388,97,85,79.16,8.52
Valparaíso,CL,-33.04,-71.63,1594666356,10,25,77.0,9.17
Shilong,CN,23.11,113.84,1594666396,3,79,88.0,11.18
Batticaloa,LK,7.71,81.69,1594666397,99,80,82.22,6.26
Moranbah,AU,-22.0,148.05,1594666397,0,60,46.51,8.1
Lorengau,PG,-2.02,147.27,1594666397,88,77,80.15,2.91
Ixtapa,MX,20.7,-105.2,1594666397,40,62,90.0,8.05
Bandarbeyla,SO,9.49,50.81,1594666397,0,76,78.67,32.77
Whitianga,NZ,-36.83,175.7,1594666398,100,98,53.01,3.4
Kralendijk,BQ,12.15,-68.27,1594666398,2,62,89.6,18.34
Haimen,CN,23.19,116.61,1594666398,4,83,84.2,4.47
Port Hardy,CA,50.7,-127.42,1594666398,75,87,57.2,4.7
Lagoa,PT,39.05,-27.98,1594666246,3,80,69.24,13.15
Assiut,EG,27.18,31.18,1594666281,0,35,87.8,11.41
Airai,TL,-8.93,125.41,1594666400,43,91,54.32,4.5
Kaitangata,NZ,-46.28,169.85,1594666214,32,82,41.0,1.99
La Asuncion,VE,11.03,-63.86,1594666400,96,59,89.6,17.22
Saskylakh,RU,71.92,114.08,1594666220,100,65,59.99,5.82
Ambanja,MG,-13.68,48.45,1594666401,36,85,71.51,0.98
Mitsamiouli,KM,-11.38,43.28,1594666401,20,83,73.4,2.24
Dhārchula,IN,29.85,80.53,1594666401,99,73,70.07,2.59
Ampanihy,MG,-24.7,44.75,1594666401,0,88,60.96,2.62
Tuy Hoa,VN,13.08,109.3,1594666351,100,89,77.59,4.79
Keti Bandar,PK,24.14,67.45,1594666402,1,80,83.62,11.41
Oriximiná,BR,-1.77,-55.87,1594666384,9,48,90.48,5.5
Venado Tuerto,AR,-33.75,-61.97,1594666402,0,24,55.0,15.01
Rocha,UY,-34.48,-54.33,1594666402,0,55,46.2,16.24
Vardø,NO,70.37,31.11,1594666403,9,81,48.2,6.93
Ocampo,MX,21.65,-101.5,1594666403,0,22,75.0,8.99
São Félix do Xingu,BR,-6.64,-51.99,1594666290,12,26,93.61,2.68
Huarmey,PE,-10.07,-78.15,1594666403,5,66,69.35,11.52
Sinnamary,GF,5.38,-52.95,1594666265,14,72,82.9,8.86
Half Moon Bay,US,37.46,-122.43,1594665877,75,87,69.01,4.7
Launceston,AU,-41.45,147.17,1594665868,40,93,37.4,10.29
Shiyan,CN,32.65,110.78,1594666404,93,87,68.04,1.3
Yar-Sale,RU,66.83,70.83,1594666404,100,65,51.12,12.41
Waipawa,NZ,-41.41,175.52,1594666405,0,100,39.99,4.7
Show Low,US,34.25,-110.03,1594666405,1,23,91.4,21.92
Marsh Harbour,BS,26.54,-77.06,1594666144,100,71,85.28,8.9
El Tigre,VE,8.89,-64.25,1594666405,77,59,86.85,12.17
Khatanga,RU,71.97,102.5,1594666146,1,63,57.9,10.36
Broken Hill,AU,-31.95,141.43,1594666406,0,86,39.2,4.7
Marzuq,YE,14.4,46.47,1594666029,98,53,83.08,13.8
Rome,US,43.21,-75.46,1594666406,90,69,77.0,10.29
Monteagudo,BO,-19.82,-63.98,1594666407,70,49,74.32,6.44
Qaqortoq,GL,60.72,-46.03,1594666407,75,71,57.2,10.29
Abu Dhabi,AE,24.47,54.37,1594665740,0,26,104.0,10.29
Itarema,BR,-2.92,-39.92,1594666237,100,67,80.74,15.73
Richards Bay,ZA,-28.78,32.04,1594666408,0,47,61.79,6.38
Krapivinskiy,RU,55.0,86.81,1594666408,100,100,64.4,8.95
Kuusamo,FI,65.97,29.18,1594666408,75,82,55.4,5.82
Tautira,PF,-17.73,-149.15,1594665904,75,74,78.8,2.24
Bengkulu,ID,-3.8,102.27,1594666409,100,90,75.18,3.89
San Francisco del Mar Viejo,MX,16.23,-94.65,1594666409,0,63,88.86,2.66
Lata,PT,40.16,-8.33,1594666409,0,64,91.0,11.99
Coari,BR,-4.08,-63.14,1594666409,20,60,87.84,2.73
Alyangula,AU,-13.85,136.42,1594666410,36,87,57.2,16.84
Banjar,ID,-8.19,114.97,1594666410,75,100,78.8,14.99
Minas,UY,-34.38,-55.24,1594666410,20,56,48.2,20.8
Hithadhoo,MV,-0.6,73.08,1594666411,0,73,85.24,9.24
Hyères,FR,43.12,6.12,1594666411,0,69,79.0,8.05
Puerto Escondido,MX,15.85,-97.07,1594666228,20,79,84.2,6.93
Kruisfontein,ZA,-34.0,24.73,1594666411,0,50,49.48,13.73
San Quintín,MX,30.48,-115.95,1594666219,1,55,77.5,11.83
Yen Bai,VN,21.7,104.87,1594666412,99,89,77.58,1.41
Sistranda,NO,63.73,8.83,1594666225,40,62,57.2,8.05
Constitución,CL,-35.33,-72.42,1594665700,0,66,60.94,8.77
Carnarvon,AU,-24.87,113.63,1594666412,75,73,69.8,6.93
Cherskiy,RU,68.75,161.3,1594666413,0,66,56.59,4.63
Cayenne,GF,4.93,-52.33,1594665691,9,59,89.6,4.7
Rodrigues Alves,BR,-7.74,-72.65,1594666413,10,50,90.09,4.21
Bilibino,RU,68.05,166.44,1594666413,38,70,57.09,3.67
Sal Rei,CV,16.18,-22.92,1594666413,75,78,82.4,14.99
Ferme-Neuve,CA,46.7,-75.45,1594666414,74,64,69.6,6.15
Cervo,ES,43.67,-7.41,1594666414,0,61,68.0,8.99
Chui,UY,-33.7,-53.46,1594665628,0,51,49.48,13.69
The Valley,AI,18.22,-63.06,1594666283,20,66,87.8,17.22
Lima,PE,-12.04,-77.03,1594666273,90,82,60.8,6.93
Huinan,CN,42.62,126.26,1594666415,100,87,59.25,5.5
Morropón,PE,-5.18,-79.97,1594666415,5,39,86.11,8.1
Bara,NG,10.37,10.73,1594666415,100,79,78.91,6.96
Talcahuano,CL,-36.72,-73.12,1594666416,0,54,55.4,6.93
Belen,TR,36.49,36.22,1594666172,34,61,82.4,9.17
Ajdabiya,LY,30.76,20.23,1594666416,0,66,79.47,19.6
Ambāgarh Chauki,IN,20.78,80.72,1594666416,100,76,81.37,9.17
Xiaoshi,CN,41.3,124.12,1594666417,100,100,69.8,2.24
Bandar,ID,2.05,99.75,1594666417,100,83,74.26,1.61
Wanning,CN,18.8,110.4,1594666417,81,88,80.8,7.23
Boa Vista,BR,2.82,-60.67,1594666419,75,58,87.8,11.41
Kīhei,US,20.79,-156.47,1594666419,40,57,80.6,3.36
Hong Kong,HK,22.29,114.16,1594666413,1,79,84.99,8.99
Samarai,PG,-10.62,150.67,1594666419,100,88,78.4,15.82
Lianzhou,CN,24.78,112.38,1594666419,24,86,77.11,1.1
Bambous Virieux,MU,-20.34,57.76,1594666252,40,83,72.0,12.75
Kuala Pilah,MY,2.74,102.25,1594666420,20,94,77.0,2.93
Alice Springs,AU,-23.7,133.88,1594666420,0,69,33.8,4.7
Lavrentiya,RU,65.58,-171.0,1594665969,92,77,44.44,6.38
Fare,PF,-16.7,-151.02,1594666420,100,78,79.77,15.77
Raja,SS,8.46,25.68,1594666421,66,83,73.33,2.73
Bambanglipuro,ID,-7.95,110.28,1594666421,59,84,76.08,3.29
Lashio,MM,22.93,97.75,1594665912,100,100,67.77,0.83
Dali,CN,25.7,100.18,1594666421,100,88,63.25,2.95
Nhulunbuy,AU,-12.23,136.77,1594666422,40,64,73.4,14.99
General Roca,AR,-39.03,-67.58,1594666422,0,34,48.2,11.41
Korla,CN,41.76,86.15,1594666422,79,59,78.01,5.01
Ostrovnoy,RU,68.05,39.51,1594666145,6,84,46.71,3.44
Robertsport,LR,6.75,-11.37,1594666423,100,85,77.02,14.27
Tilichiki,RU,60.47,166.1,1594666222,98,95,50.29,4.85
Barabinsk,RU,55.36,78.36,1594666423,0,90,61.39,5.35
Gamba,GA,-2.65,10.0,1594666423,0,91,70.52,5.91
Wynyard,AU,-41.0,145.72,1594666423,0,83,39.0,4.0
Canutama,BR,-6.53,-64.38,1594666424,65,56,89.01,1.41
Margate,GB,51.38,1.39,1594666424,100,51,71.01,1.99
Touros,BR,-5.2,-35.46,1594666384,20,54,84.2,11.41
Goderich,CA,43.75,-81.72,1594666424,0,88,72.0,3.0
Umuarama,BR,-23.77,-53.33,1594666424,84,62,78.53,4.43
Talnakh,RU,69.49,88.4,1594665849,40,93,53.6,2.24
Norman Wells,CA,65.28,-126.83,1594666425,40,59,64.4,5.82
Inuvik,CA,68.35,-133.72,1594666425,75,63,60.8,2.24
Province of Mantua,IT,45.17,10.78,1594666425,86,49,73.99,1.99
Oranjemund,NA,-28.55,16.43,1594666047,71,71,56.1,8.72
Kitimat,CA,54.05,-128.65,1594666426,53,71,62.01,1.01
Yangjiang,CN,21.85,111.97,1594666426,6,89,79.74,3.44
Sainte-Rose,GP,16.33,-61.7,1594666426,75,58,87.8,13.87
Mehamn,NO,71.04,27.85,1594665923,98,83,47.82,6.15
Sitka,US,57.05,-135.33,1594666269,90,82,55.4,12.75
Portland,US,45.52,-122.68,1594666134,1,59,71.01,4.7
Paraúna,BR,-16.95,-50.45,1594666383,2,31,85.57,4.63
Nara,JP,34.69,135.8,1594666427,100,77,72.0,3.44
Zainsk,RU,55.32,52.07,1594666428,0,69,77.0,11.18
Grand Gaube,MU,-20.01,57.66,1594666428,1,78,72.0,5.99
Kutum,SD,14.2,24.67,1594666428,84,30,85.6,4.52
Clyde River,CA,70.47,-68.59,1594666428,75,71,51.8,5.82
Lokhvytsya,UA,50.37,33.26,1594666428,100,81,57.67,15.23
Mount Gambier,AU,-37.83,140.77,1594665768,75,93,37.4,4.63
San Luis,AR,-33.3,-66.34,1594665773,0,43,53.38,9.86
San Patricio,MX,19.22,-104.7,1594666429,40,62,89.6,5.82
Zhangye,CN,38.93,100.45,1594666349,96,44,74.26,5.17
Hofn,IS,64.25,-15.21,1594666429,75,93,53.6,5.82
Romny,UA,50.75,33.47,1594666221,100,84,56.89,14.92
Cabo San Lucas,MX,22.89,-109.91,1594666158,20,48,93.2,9.17
Pizarro,CO,4.95,-77.37,1594666430,93,75,81.91,6.46
Hay River,CA,60.82,-115.8,1594666430,90,100,53.6,19.46
Mossamedes,AO,-15.2,12.15,1594666431,0,82,63.91,4.21
Jacqueville,CI,5.21,-4.41,1594666431,78,82,77.0,12.28
Zhangjiakou,CN,40.81,114.88,1594666431,23,74,66.0,4.5
Coihueco,CL,-36.62,-71.83,1594666431,20,76,55.4,6.93
Haines Junction,CA,60.75,-137.51,1594666432,100,51,59.02,5.97
Bathsheba,BB,13.22,-59.52,1594666226,20,62,87.8,20.8
Thompson,CA,55.74,-97.86,1594666220,90,83,69.8,9.17
Ndendé,GA,-2.4,11.36,1594666432,100,81,72.91,3.91
Redlands,US,34.06,-117.18,1594666271,20,18,93.99,4.7
Srandakan,ID,-7.94,110.25,1594666433,55,84,75.99,3.33
Champerico,GT,14.3,-91.92,1594666433,20,55,89.6,6.93
Iiyama,JP,36.85,138.37,1594666433,100,94,68.0,3.94
Thinadhoo,MV,0.53,72.93,1594666434,97,73,85.08,8.66
Sangar,RU,63.92,127.47,1594666434,0,77,60.26,10.07
Harper,LR,4.38,-7.72,1594665907,42,79,76.32,9.86
Shetpe,KZ,44.17,52.12,1594666434,70,41,81.41,5.32
Atambua,ID,-9.11,124.89,1594666435,0,81,67.64,6.24
Mishelevka,RU,52.86,103.17,1594666435,0,84,61.95,4.94
Ilulissat,GL,69.22,-51.1,1594665836,75,70,46.4,8.05
Ambon City,ID,-3.7,128.18,1594666435,100,86,77.9,12.39
Altoona,US,40.52,-78.39,1594666321,35,59,81.0,10.38
Yangi Marg`ilon,UZ,40.43,71.72,1594666436,90,34,82.4,11.41
Quatre Cocos,MU,-20.21,57.76,1594666436,40,83,72.0,12.75
Hamilton,US,39.18,-84.53,1594666231,20,48,86.0,4.7
Mananara,MG,-16.17,49.77,1594666436,6,88,66.33,4.52
Lebu,CL,-37.62,-73.65,1594666436,0,69,52.48,3.69
Sisimiut,GL,66.94,-53.67,1594666437,52,77,45.99,17.13
Pacific Grove,US,36.62,-121.92,1594666437,90,77,60.8,9.17
Crib Point,AU,-38.35,145.2,1594666437,89,94,50.0,11.7
Nome,US,64.5,-165.41,1594666437,1,71,59.0,3.36
Comodoro Rivadavia,AR,-45.87,-67.5,1594665901,40,35,42.8,13.87
Olafsvik,IS,64.89,-23.71,1594666438,44,77,53.35,2.04
Wigtown,GB,54.87,-4.44,1594666438,100,80,56.77,12.12
Upington,ZA,-28.45,21.26,1594666438,20,50,55.4,8.05
Kenai,US,60.55,-151.26,1594666438,90,62,59.0,9.17
Codrington,AU,-38.27,141.97,1594666439,3,92,41.68,3.67
Alice Town,BS,25.72,-79.3,1594666235,48,73,84.72,10.13
Swan River,CA,52.11,-101.27,1594666439,46,64,72.09,8.34
Zhicheng,CN,30.3,111.5,1594666439,100,90,75.0,1.23
Anito,PH,12.45,125.29,1594666439,98,87,78.06,5.48
Chiredzi,ZW,-21.05,31.67,1594666440,0,47,60.28,2.53
Lhokseumawe,ID,5.18,97.15,1594666440,100,86,76.8,6.98
Hobyo,SO,5.35,48.53,1594665894,78,78,77.5,25.26
Vzmorye,RU,54.7,20.24,1594666441,75,82,59.0,8.95
Ketchikan,US,55.34,-131.65,1594666441,90,82,59.0,9.17
Tazovsky,RU,67.47,78.7,1594666441,95,87,45.72,18.68
Coquimbo,CL,-29.95,-71.34,1594666441,20,76,57.2,9.17
Abramovka,RU,51.19,41.02,1594666441,100,70,73.65,1.45
Gorontalo,ID,0.54,123.06,1594666442,55,89,73.45,2.1
Zhezkazgan,KZ,47.8,67.71,1594666442,0,27,78.44,18.59
Sühbaatar,MN,50.23,106.21,1594666442,0,73,63.52,1.61
Yermekeyevo,RU,54.08,53.67,1594666442,51,79,73.38,7.76
College,US,64.86,-147.8,1594666247,90,93,53.6,3.27
Khedbrahma,IN,24.03,73.05,1594666443,89,71,85.59,7.36
Charagua,BO,-19.8,-63.22,1594666443,100,64,69.57,6.69
Manerbio,IT,45.36,10.14,1594666443,40,39,78.8,5.82
Senador Pompeu,BR,-5.59,-39.37,1594666443,100,43,86.2,5.35
Sobolevo,RU,54.43,31.9,1594665937,66,93,53.08,5.95
Dawson Creek,CA,55.77,-120.24,1594666444,40,55,62.6,17.22
Felanitx,ES,39.47,3.15,1594666444,20,61,84.2,3.36
